#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="OEAKM",unit_software_part_number="006-B1727-2N",product="GDU 460",software_version="9.01",system_id="60002CBBB5389",unit="MFD1",airframe_hours="796.8",engine_hours="891.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),NAV Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Roll Trim Motor,AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts 1,Volts E,Amps,Fuel Flow (gal/hour),Co Ppm,CHT1 (deg F),CHT2 (deg F),EGT1 (deg F),EGT2 (deg F),ALT2 (discrete),ALT1 (discrete),BACKUP BATT  (discrete),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NAV1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,,E1 CHT1,E1 CHT2,E1 EGT1,E1 EGT2,,,,,,
2024-03-09,08:27:57,08:27:57,+00:00,+47.3820868,+9.6984801,1398,3D (PFD1),548895.4,0.0,,0,0,-0.00,46.5,1.7,8,1609,1492,20,17.5,18,-2.10,0.94,0.004,0.969,-0.127,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,849,,,,040007FF N100 N100,61,,,7000,ALT,57,12,12,4.40,71.0,2170,13.8,14.4,0.0,2,1.4,0,88,90,957,943,0,0,0,OIL TEMP,,78
2024-03-09,08:27:58,08:27:58,+00:00,+47.3820868,+9.6984801,1398,3D (PFD1),548896.4,0.0,,0,0,-0.00,46.6,1.7,8,1609,1492,18,17.7,18,-2.13,1.01,-0.037,1.009,-0.120,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,850,,,,040007FF N100 N100,60,,,7000,ALT,59,12,12,4.20,71.0,2170,13.8,14.4,0.0,2,1.4,0,88,90,957,943,0,0,0,OIL TEMP,,78
2024-03-09,08:27:59,08:27:59,+00:00,+47.3820869,+9.6984801,1398,3D (PFD1),548897.4,0.0,,0,0,0.00,46.6,1.7,8,1608,1492,-3,17.9,18,-2.12,0.99,-0.001,0.981,-0.112,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,850,,,,040007FF N100 N100,59,,,7000,ALT,59,12,12,4.10,71.0,2170,13.7,14.4,0.0,2,1.5,0,88,91,959,945,0,0,0,OIL TEMP,,78
2024-03-09,08:28:00,08:28:00,+00:00,+47.3820869,+9.6984800,1398,3D (PFD1),548898.4,0.0,,0,0,-0.00,46.6,1.7,8,1608,1492,-4,17.9,18,-2.11,1.02,-0.005,0.984,-0.107,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,851,,,,040007FF N100 N100,58,,,7000,ALT,59,12,12,4.20,71.0,2180,13.7,14.4,0.0,2,1.5,0,90,91,961,945,0,0,0,OIL TEMP,,78
2024-03-09,08:28:01,08:28:01,+00:00,+47.3820869,+9.6984800,1398,3D (PFD1),548899.4,0.0,,0,0,0.00,46.6,1.7,8,1609,1492,11,18.0,18,-2.08,1.07,-0.073,1.037,-0.102,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,851,,,,040007FF N100 N100,58,,,7000,ALT,59,12,12,4.30,71.0,2180,13.7,14.4,0.0,2,1.5,0,90,91,963,945,0,0,0,OIL TEMP,,78
2024-03-09,08:28:02,08:28:02,+00:00,+47.3820869,+9.6984799,1398,3D (PFD1),548900.4,0.0,,0,0,0.00,46.5,1.7,8,1609,1492,14,18.0,18,-2.11,0.98,0.013,0.979,-0.097,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,852,,,,040007FF N100 N100,58,,,7000,ALT,59,12,12,4.30,71.0,2180,13.7,14.4,0.0,2,1.5,0,90,91,964,945,0,0,0,OIL TEMP,,78
2024-03-09,08:28:03,08:28:03,+00:00,+47.3820870,+9.6984799,1398,3D (PFD1),548901.4,0.0,,0,0,0.00,46.6,1.7,8,1609,1493,8,18.2,19,-2.10,1.07,-0.028,1.012,-0.089,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,853,,,,040007FF N100 N100,55,,,7000,ALT,59,12,12,4.40,71.0,2190,13.7,14.4,0.0,2,1.5,0,91,93,964,946,0,0,0,OIL TEMP,,78
2024-03-09,08:28:04,08:28:04,+00:00,+47.3820870,+9.6984799,1398,3D (PFD1),548902.4,0.0,,0,0,0.00,46.6,1.7,8,1609,1493,-16,18.3,19,-2.06,1.02,-0.003,0.972,-0.084,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,853,,,,040007FF N100 N100,59,,,7000,ALT,59,12,12,4.40,71.0,2190,13.7,14.4,0.0,2,1.6,0,91,93,963,946,0,0,0,OIL TEMP,,78
2024-03-09,08:28:05,08:28:05,+00:00,+47.3820870,+9.6984798,1398,3D (PFD1),548903.4,0.0,,0,0,0.00,46.5,1.7,8,1608,1492,-12,18.0,18,-2.01,1.01,0.006,0.968,-0.077,,12,,,,29.80,121.205,108.400,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,5.5,852,,,,040007FF N100 N100,57,,,7000,ALT,59,12,12,4.40,71.0,2180,13.6,14.4,0.0,2,1.5,0,91,93,966,946,0,0,0,OIL TEMP,,78
